=========================== START ===================================
Adding packet with sequence number 0 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 122, A-MPDU size = 126
=========================== End ===================================
=========================== START ===================================
Adding packet with sequence number 1 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 66, A-MPDU size = 70
=========================== End ===================================
=========================== START ===================================
Adding packet with sequence number 2 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 122, A-MPDU size = 126
=========================== End ===================================
=========================== START ===================================
Adding packet with sequence number 3 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 122, A-MPDU size = 126
=========================== End ===================================
=========================== START ===================================
Adding packet with sequence number 4 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 101
=========================== End ===================================
=========================== START ===================================
Adding packet with sequence number 5 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 101
Adding packet with sequence number 6 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 205
Adding packet with sequence number 7 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 309
Adding packet with sequence number 8 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 413
Adding packet with sequence number 9 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 517
Adding packet with sequence number 10 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 621
Adding packet with sequence number 11 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 725
Adding packet with sequence number 12 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 829
Adding packet with sequence number 13 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 933
Adding packet with sequence number 14 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1037
Adding packet with sequence number 15 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1141
Adding packet with sequence number 16 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1245
Adding packet with sequence number 17 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1349
Adding packet with sequence number 18 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1453
Adding packet with sequence number 19 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1557
Adding packet with sequence number 20 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1661
Adding packet with sequence number 21 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1765
